Module,Layer,Summary,Description,SuggestedIssueType
Platform / Infra,Backend,Health check endpoint,"GET /health (or root health) for uptime and orchestration probes.",Task
Platform / Infra,Backend,PostgreSQL TypeORM configuration,"App database connection with pool tuning (DB_POOL_MAX, idle, connect timeouts).",Task
Platform / Infra,Backend,Database migrations runner,"Migrations defined in app.module; run via dedicated migrate script (not auto on boot).",Task
Platform / Infra,Backend,Row-level security tenant interceptor,"Global RlsTenantInterceptor sets tenant context for scoped queries.",Task
Platform / Infra,Backend,S3 module integration,"Shared S3 client/module for uploads and object storage.",Task
Platform / Infra,Backend,pg-boss job queue wiring,"QueueService enqueues extraction jobs; cancel/requeue flows.",Task
Platform / Infra,Infra,Docker Compose stacks,"docker-compose.yml and docker-compose-without-olama.yml for local/proxy services.",Task
Auth,Backend,JWT auth guard,"Bearer JWT validation on protected routes.",Task
Auth,Backend,Login and signup API,"POST /auth/login, POST /auth/signup; session establishment.",Story
Auth,Backend,Current user and auth status,"GET /auth/me, GET /auth/status for client bootstrap.",Task
Auth,Backend,Permissions guard and decorators,"PermissionResource, RequirePermission, PermissionsGuard integration.",Story
Auth,Backend,Staff customer assignments,"User-to-customer assignment for multi-tenant staff access.",Story
Auth,Frontend,Auth context and JWT handling,"AuthProvider, token storage, refresh of user claims.",Story
Auth,Frontend,Login page UI,"LoginPage: credentials entry and error handling.",Task
Auth,Frontend,Route guards (RequireAuth),"Protected layout wrapper for authenticated routes.",Task
Auth,Frontend,Permission-aware UI (Can component),"Can.tsx and permission checks for conditional UI.",Task
Auth,Frontend,Staff landing and home redirect,"staffLanding, HomeRedirect, staffHomePath for role-based default route.",Story
Auth,Frontend,Customer vs staff route guards,"StaffCustomerReadRoute, StaffCustomerWriteRoute, StaffJobsRoute, StaffCustomerDriveRoute, StaffSettingsGuard, AdminDashboardRoute, etc.",Story
Admin,Backend,Admin users CRUD API,"GET/POST /admin/users, PATCH /admin/users/:id.",Story
Admin,Backend,Admin user customer assignments,"GET/POST /admin/users/:id/customer-assignments.",Story
Admin,Backend,Admin roles CRUD API,"GET/POST/PATCH/DELETE /admin/roles; GET /admin/roles/:id.",Story
Admin,Backend,Permission catalog endpoint,"GET /admin/roles/permission-catalog for UI matrix.",Task
Admin,Frontend,Staff settings users page,"StaffSettingsUsersPage: manage users (admin-only route).",Story
Admin,Frontend,Roles settings page,"RolesSettingsPage: roles and permissions configuration UI.",Story
Admin,Frontend,Admin dashboard page,"AdminDashboardPage with dashboard:read gate.",Story
Admin,Frontend,MUI admin theme and provider,"muiAdminTheme, AppMuiProvider for staff UI.",Task
Admin,Frontend,Admin layout and view switcher,"AdminStaffLayout, ViewSwitcher, PageActions, PageLayout.",Story
Customers (core),Backend,Customers nestjsx CRUD,"List/get/create/patch/delete customers with permission checks.",Story
Customers (core),Backend,Customer create hook,"CustomersService.createOne override for post-create behaviour.",Task
Customers (core),Backend,Customer export catalog,"GET /customers/summary-export-catalog for column definitions.",Task
Customers (core),Backend,Customer wide export GET,"GET /customers/:id/export CSV/XLSX two-row key/value export.",Story
Customers (core),Backend,Customer wide export POST,"POST /customers/:id/export with optional column selection.",Story
Customers (core),Backend,Customer summary export preview,"POST /customers/:id/summary-export-preview.",Task
Customers (core),Backend,Customer summary export file,"POST /customers/:id/summary-export CSV/XLSX.",Story
Customers (core),Backend,Customers page with submission data,"GET /customers/page-with-submission-data for list enrichment.",Story
Customers (core),Backend,Customers list export,"POST /customers/export-list and export-list-preview.",Story
Customers (core),Backend,Company lookup API,"GET /company-lookup (Companies House or similar integration).",Task
